,category_id,parent_id,name,link_url
1059,445,1179.0,Держатели для туалетной бумаги,http://e96.ru/sanitary_engineering/bathroom_accessories/derzhateli_dlja_tualetnojj_bumagi
1060,19,1105.0,Радиотелефоны,http://e96.ru/phones/telephones_for_home_and_office/radio_telefony
1061,842,684.0,Пояса для тяжелой атлетики,http://e96.ru/sporting_goods/weightlifting/poyasa_dlya_tyajeloy_atletiki
1062,1602,1343.0,Полки для обуви,http://e96.ru/furniture/hallway/polki_dlya_obuvi
1063,1174,206.0,Раковины и мойки,http://e96.ru/sanitary_engineering/sinks_and_wash
1064,459,1179.0,Диспенсеры для салфеток,http://e96.ru/sanitary_engineering/bathroom_accessories/dispensery_dlja_salfetok
1065,458,1179.0,Корзины для белья,http://e96.ru/sanitary_engineering/bathroom_accessories/korziny_dlja_belja
1066,531,1041.0,Детские брелоки,http://e96.ru/kids/toys/detskie_breloki
1067,617,1206.0,Гирлянды,http://e96.ru/household_appliances/new_year/girljandy
1068,1826,1204.0,Электроодеяла,http://e96.ru/household_appliances/homeware/elektroodeyala
1069,1532,1347.0,Офисные диваны,http://e96.ru/furniture/office/ofisnye_divany
1070,1352,1346.0,Кухонные шкафы,http://e96.ru/furniture/kitchen/kuhonnye_shkafy
